Model,Checkpoint,Benchmark,Samples,Min,Max,Mean,Std. Dev
MusicRNN,basic_rnn,Twinkle,7,1.658300692,1.709324669,1.6788165027142856,0.018087826610142396
,,16 notes 16 steps 8 duration,10,0.866036907,0.904403502,0.8804009559000001,0.013759927575713057
,,16 notes 16 steps 16 duration,8,1.540449555,1.5867708170000001,1.554587520875,0.017575071744977282
,,16 notes 16 steps 32 duration,6,2.903271615,2.9627611480000002,2.937478254,0.023367860042668092
,,16 notes 16 steps 64 duration,5,5.741357483,5.919123317,5.832329711200001,0.07260457905639436
,,16 notes 16 steps 128 duration,5,11.514048533,11.604107119,11.545017553800001,0.035033298562118155
,,16 notes 16 steps 8 duration,10,0.857809153,0.881086443,0.8708370134000001,0.006861834648544575
,,16 notes 32 steps 8 duration,9,1.05988477,1.088431686,1.0748331777777778,0.008548527811108866
,,16 notes 64 steps 8 duration,8,1.433483571,1.466111621,1.4529536116250001,0.009963696156556283
,,16 notes 128 steps 8 duration,7,2.240063734,2.270370863,2.251629493428571,0.010398453890789321
,,16 notes 16 steps 8 duration,10,0.855813062,0.890570307,0.869335517,0.013220365724520755
,,32 notes 16 steps 8 duration,10,0.868789507,0.88824449,0.8756009941999998,0.005698112556257055
,,64 notes 16 steps 8 duration,10,0.860886342,0.895478859,0.881288022,0.011313638798755844
,,128 notes 16 steps 8 duration,10,0.863868831,0.905559354,0.8840991490000001,0.012358095330968474
,,Twinkle 2 repetitions 32 steps,7,1.73722835,1.772599727,1.7550882370000003,0.013493614949843372
,,Twinkle 4 repetitions 32 steps,6,3.132152288,3.269622406,3.1812712871666666,0.048215286620343
,,Twinkle 8 repetitions 32 steps,5,6.043251796,6.158259658,6.1021423212,0.049134995466041345
,melody_rnn,Twinkle,7,1.7428902979999998,1.8132291390000002,1.7691476394285712,0.02258943645819885
,,16 notes 16 steps 8 duration,10,0.909761159,0.963882297,0.9357673447,0.015776622100078845
,,16 notes 16 steps 16 duration,7,1.6447395889999998,1.715747141,1.679364738142857,0.024027853285376453
,,16 notes 16 steps 32 duration,6,3.119267567,3.258077489,3.1794466035,0.047916424574282725
,,16 notes 16 steps 64 duration,5,6.190537414,6.264787499,6.2241182154,0.02749386481623289
,,16 notes 16 steps 128 duration,5,12.375351988,12.412875941,12.396511874800002,0.015150106487540393
,,16 notes 16 steps 8 duration,10,0.919374027,0.954673097,0.9344532051000002,0.012284549997771657
,,16 notes 32 steps 8 duration,9,1.128529969,1.173707941,1.1484081848888887,0.01467803589423058
,,16 notes 64 steps 8 duration,8,1.55196661,1.591499738,1.5791596552499998,0.012205307439952877
,,16 notes 128 steps 8 duration,7,2.3869971850000002,2.451737836,2.4173484605714286,0.02244857399344272
,,16 notes 16 steps 8 duration,10,0.914842619,0.960855844,0.9399245168,0.015846687115025737
,,32 notes 16 steps 8 duration,10,0.926636756,0.948434841,0.9386673257999998,0.007827277962747925
,,64 notes 16 steps 8 duration,10,0.936155436,0.968619044,0.9540629598000001,0.011541780198908398
,,128 notes 16 steps 8 duration,10,0.920232363,0.958405792,0.9413679623000002,0.012139232199470067
,,Twinkle 2 repetitions 32 steps,7,1.8593047600000001,1.9144815020000001,1.879518029857143,0.017567639043077746
,,Twinkle 4 repetitions 32 steps,6,3.371906086,3.475006055,3.3944653806666665,0.03993178523711148
,,Twinkle 8 repetitions 32 steps,5,6.419816678,6.502311245,6.471707481200001,0.0325621634322695
,drum_kit_rnn,Twinkle,6,2.68404702,2.759677493,2.7245622798333335,0.028816378099544817
,,16 notes 16 steps 8 duration,8,1.407350128,1.49401959,1.4399223288750003,0.03024289944940928
,,16 notes 16 steps 16 duration,7,2.421125262,2.634107009,2.530637704857143,0.07115727939149961
,,16 notes 16 steps 32 duration,6,4.682245544,4.917109938,4.774367706333334,0.07735815910582686
,,16 notes 16 steps 64 duration,5,9.437277599,9.877163845,9.6916152006,0.1773792762590493
,,16 notes 16 steps 128 duration,5,18.438042151,19.491457503,19.127980543399996,0.42489209731094235
,,16 notes 16 steps 8 duration,8,1.426340354,1.483119423,1.450682834875,0.017346447920198935
,,16 notes 32 steps 8 duration,7,1.64769356,1.7254072919999999,1.7003338595714286,0.026982339357299018
,,16 notes 64 steps 8 duration,7,2.270014402,2.446017334,2.3716376077142862,0.06036108576163152
,,16 notes 128 steps 8 duration,6,3.6434034349999997,3.757871621,3.6789088478333327,0.042162754954441786
,,16 notes 16 steps 8 duration,8,1.366179547,1.469891873,1.419585501375,0.02878110486963564
,,32 notes 16 steps 8 duration,8,1.349166932,1.460848827,1.4079017818750001,0.040712159096210294
,,64 notes 16 steps 8 duration,8,1.344375007,1.486589882,1.4265475037500002,0.04840674425528763
,,128 notes 16 steps 8 duration,8,1.367624128,1.438882452,1.417047184125,0.02248283157567009
,,Twinkle 2 repetitions 32 steps,6,2.82633605,3.029846575,2.909485044166667,0.07225589675881254
,,Twinkle 4 repetitions 32 steps,5,5.146028004,5.351464336,5.2644465624,0.08301290731899609
,,Twinkle 8 repetitions 32 steps,5,9.778544611000001,10.1315429,9.9665635148,0.1567375560061432
MusicVAE,mel_4bar_small_q2,10 Samples,10,0.855047288,0.876264787,0.8620002982000001,0.006279782111517669
,,100 Samples,6,2.526065305,2.563897691,2.5423530218333332,0.013365542286249617
,,1000 Samples,5,15.505466371,16.781267628,16.4565755588,0.5349384950338802
